Cidade_operador;So_Agua_yes;Nat_jur_B;Nat_jur_C;PIB_capta_2017;Urbaniz;POP_TOT;POP_URB;AG001;AG001A;AG002;AG002A;AG003;AG003A;AG005;AG005A;AG006;AG007;AG010;AG011;AG013;AG013A;AG021;AG021A;AG026;AG026A;AG028;ES001;ES001A;ES002;ES002A;ES003;ES003A;ES004;ES004A;ES005;ES006;ES007;ES009;ES009A;ES028;FN001;FN002;FN003;FN004;FN005;FN006;FN008;FN008A;FN010;FN011;FN013;FN014;FN015;FN016;FN017;FN018;FN019;FN020;FN021;FN022;FN023;FN024;FN025;FN026;FN026A;FN027;FN028;FN030;FN031;FN032;FN033;FN034;FN035;FN036;FN037;QD002;QD003;QD023;QD024
2.20E+13;1;0;0;7362.69;0.52;4735;2457;1845;1801;530;518;533;521;12.34;12.72;91.8;0;60.61;77.18;501;492;909;870;1845;1801;34.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265149.67;265149.67;0;11609.47;276759.14;294168.56;79379.3;75851.08;382196.73;0;29080.28;40281.43;472673.14;0;584446.31;226.85;54101.28;0;9869.02;17390.46;0;0;0;2;2;11245.68;40281.43;226.85;0;0;226.85;0;0;0;0;0;0;925;510
2.20E+13;1;0;0;6759.8;0.61;11252;6826;8431;8861;2524;2662;2573;2724;17.93;17.92;485.71;485.71;336.11;363.92;2470;2591;3229;3172;6533;6853;238.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1182530.11;1182530.11;0;69302.39;1251832.5;1500661.17;870681.57;1018326.33;923002.53;221565.95;138265.46;154053.88;1544335.29;0;1755670.95;1095.09;126931.7;0;45850.92;81999.28;0;0;0;4;4;61596.55;2404.68;1095.09;0;0;1095.09;0;0;0;0;0;0;1350;1189
2.20E+13;1;0;0;65454.41;0.62;11497;7092;6462;6416;1461;1452;1471;1462;20.7;21.25;407.34;0;219.77;241.26;1414;1404;2434;2413;6462;6416;184.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;876772.7;876772.7;0;37601.49;914374.19;875225.97;747493.63;639494.43;442606.6;0;117364.64;35963.73;668382.29;0;847386.04;626.07;88679.67;0;32376.39;54360.35;0;0;0;2;2;40070.93;35963.73;626.07;0;0;626.07;0;0;0;0;0;0;889;694
2.20E+13;1;0;0;7975.43;0.49;46941;23158;21660;21696;5763;5786;5829;5857;76.55;78.76;1271.95;1224.67;763.17;918.93;5381;5390;7796;7693;21660;21696;540.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2632009.59;2632009.59;0;441599.91;3073609.5;4114944.13;1376379.68;2279242.56;2188862.26;137560.02;314081.14;322101.44;3224222.38;0;3843843.51;2580.86;370483.01;0;119391.67;207054.14;95928;1317367.37;0;9;9;142225.85;42083.98;98508.86;0;1317367.37;1415876.23;0;0;0;0;0;0;6231;5751
2.20E+13;1;0;0;7353.81;0.58;3344;1939;2236;2276;627;633;629;634;8.64;8.94;142.57;0;87.9;97.03;584;585;906;888;1869;1872;85.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;346337.74;346337.74;0;13372.98;359710.72;328513.92;435544.06;241418.87;231123.37;1267.31;67316.04;7900.83;336665.73;0;407517.77;267.71;41087.47;0;12898.14;21863.74;0;0;0;1;1;16160.04;7900.83;267.71;0;0;267.71;0;0;0;0;0;0;266;231
2.20E+13;1;0;0;8959.53;0.72;7038;5101;6016;6003;1769;1790;1815;1837;18.31;18.48;543.76;0;216.05;261.85;1714;1735;2376;2346;4828;4887;403.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;876488.69;876488.69;0;29619.76;906108.45;905927.14;515798.83;473002.77;718289.88;11155.63;318226.46;147319.68;1266651.84;0;1588691.95;772.48;115720.28;0;32202.89;59000.15;0;0;0;3;3;39457.3;147319.68;772.48;0;0;772.48;0;0;0;0;0;0;1205;948
2.20E+13;1;0;0;6716.93;0.37;26806;9992;12726;12801;3873;3854;3903;3885;43.56;45.02;1207.8;0;483.92;587.03;3669;3647;4735;4643;9722;9664;393.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2032888.23;2032888.23;0;280279.97;2313168.2;2395245.2;397511.78;378083.09;811105.85;2227.75;308722.57;224507.67;1669909.36;0;2223441.33;1661.14;196754.01;0;76411.37;132270.29;0;0;0;1;1;246934.15;224507.67;1661.14;0;0;1661.14;0;0;0;0;0;0;2734;2545
2.20E+13;1;0;0;7629.38;0.49;3544;1730;2306;2193;714;714;721;721;14.49;15.07;79.47;0;51.16;89.24;680;681;903;888;1647;1649;18.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270123.66;270123.66;0;13313.24;283436.9;303611.76;103727.51;103495;188635.57;203.15;16624.69;179449.42;403509.3;0;637437.8;306.86;34371.94;0;10084.11;20107.14;0;0;0;1;1;8512.36;179449.42;306.86;0;0;306.86;0;0;0;0;0;0;298;256
2.20E+13;1;0;0;6894.41;0.63;10462;6609;6589;6608;1975;1946;1982;1954;20.12;20.67;292.21;0;205.1;270.5;1893;1872;2590;2545;6346;6276;124.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;815518.31;815518.31;0;46906.88;862425.19;952828.16;144826.22;180986.22;408128.78;8449.51;97193.53;72402.25;653048.41;0;871481.31;843.55;85081.03;0;30257.76;60949.62;0;0;0;3;0;36616.58;72402.25;843.55;0;0;843.55;0;0;0;0;0;0;28;28
2.20E+13;1;0;0;9849.4;0.73;5495;4023;4831;4609;1402;1372;1414;1383;24.76;25.35;584.61;0;193.17;230.23;1322;1302;1921;1882;3878;3819;303.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;780570.34;780570.34;0;88401.33;868971.67;911324.92;478445.91;422609.45;476851.38;0;185437.02;81438.87;814296.82;0;1037083.39;601.81;89471.5;0;31034.5;51876.2;0;0;0;2;2;39535.05;81438.87;601.81;0;0;601.81;0;0;0;0;0;0;701;612
