c_mun;un;ano;c_prest;t_Serv;nat_jur_c;FN017;nat_jur_b;Urbanizacao;AG005;AG011;AG021;QD023;IN008;IN013;IN058
310020;MG;2004;31062000;0;1;14.40;0;85;4.39;7.07;8.80;4.26;10.52;12.76;-0.51
310070;MG;2004;31062000;0;1;11.98;0;65;2.38;4.66;6.24;7.10;10.35;2.56;-1.08
310070;MG;2003;31062000;0;1;11.91;0;65;2.27;4.68;6.20;7.09;10.21;2.17;-1.11
310080;MG;2004;31008011;1;0;11.23;0;52;2.39;4.78;6.77;4.79;6.24;41.49;-0.84
310100;MG;2004;31062000;0;1;13.03;0;68;2.78;5.22;7.11;5.69;10.33;-7.37;-0.29
310150;MG;2004;31062000;0;1;14.75;0;92;4.63;7.61;9.14;3.64;10.38;20.27;-0.94
310160;MG;2004;31062000;1;1;15.98;0;93;5.69;8.45;10.04;10.57;10.31;5.95;-0.21
310170;MG;2004;31062000;1;1;15.03;0;78;4.51;7.35;9.05;8.72;10.12;0.20;-0.58
310170;MG;2003;31062000;1;1;14.95;0;78;4.50;7.36;9.01;7.68;9.91;4.82;-0.58
310190;MG;2004;31062000;0;1;14.00;0;80;3.72;6.67;8.41;7.97;10.59;14.12;0.04
310200;MG;2004;31062000;0;1;13.69;0;69;3.66;6.29;8.05;6.72;10.42;-26.62;0.07
310210;MG;2003;31062000;0;1;12.91;0;35;2.78;5.37;7.17;3.81;10.25;1.14;0.36
310260;MG;2004;31062000;0;1;14.61;0;73;4.65;7.52;9.07;8.62;10.49;16.43;-2.53
310280;MG;2004;31062000;0;1;13.75;0;78;3.91;6.29;8.19;5.09;10.21;4.83;-1.71
310290;MG;2004;31062000;0;1;13.23;0;55;3.30;5.67;7.55;5.99;10.27;5.26;-0.63
310400;MG;2004;31062000;1;1;16.18;0;98;5.42;8.61;10.15;4.79;10.18;20.73;-0.24
310420;MG;2004;31062000;0;1;14.82;0;90;4.95;7.61;9.24;9.92;10.27;12.23;-0.16
310430;MG;2004;31062000;0;1;13.72;0;80;3.94;6.46;8.18;6.90;10.44;5.56;-0.45
310490;MG;2004;31062000;0;1;14.03;0;68;3.87;6.65;8.36;5.69;9.92;14.10;-0.49
310550;MG;2004;31062000;0;1;16.47;0;65;2.17;4.72;6.51;1.10;15.09;1.43;-3.22
310550;MG;2003;31062000;0;1;11.97;0;65;2.17;4.75;6.48;2.08;10.35;14.11;-3.22
310560;MG;2003;31056011;1;0;16.16;0;91;5.16;8.78;10.28;9.57;9.07;15.00;0.17
310590;MG;2004;31062000;0;1;14.28;0;97;4.45;6.86;8.71;6.94;10.04;42.65;-0.92
310590;MG;2003;31062000;0;1;14.22;0;97;4.45;6.91;8.71;7.54;9.87;46.56;-0.71
310610;MG;2004;31062000;0;1;11.47;0;28;1.53;4.12;5.81;1.61;10.19;-3.32;-0.97
310620;MG;2004;31062000;1;1;19.62;0;100;8.75;12.00;13.11;12.43;10.59;29.16;-0.11
310620;MG;2003;31062000;1;1;19.55;0;100;8.74;12.03;13.10;12.41;10.51;29.73;-0.02
310670;MG;2004;31062000;1;1;17.42;0;97;7.06;9.87;11.37;10.83;10.58;40.58;-0.26
310670;MG;2003;31062000;1;1;17.31;0;97;6.98;9.91;11.34;10.86;10.49;38.83;-0.30
310690;MG;2004;31062000;0;1;13.89;0;90;3.83;6.60;8.28;3.78;10.31;17.42;-0.08
310690;MG;2003;31062000;0;1;13.83;0;90;3.81;6.61;8.27;6.42;10.37;27.30;-0.45
310710;MG;2004;31071011;1;0;14.49;0;82;5.18;7.69;9.22;7.29;9.64;17.32;-2.41
310740;MG;2004;31062000;1;1;15.46;0;93;5.16;7.77;9.43;10.37;10.20;10.27;-0.24
310740;MG;2003;31062000;1;1;15.39;0;93;5.16;7.77;9.40;10.23;10.06;9.88;-0.22
310760;MG;2004;31062000;0;1;12.66;0;65;2.59;5.09;6.93;5.82;10.46;-0.56;-0.15
310790;MG;2004;31062000;1;1;13.48;0;51;3.12;5.57;7.44;7.27;10.07;-0.76;-0.46
310830;MG;2004;31062000;1;1;14.17;0;78;3.73;6.42;8.23;7.09;10.24;18.12;-0.58
310830;MG;2003;31062000;1;1;14.09;0;78;3.70;6.42;8.22;7.60;10.26;27.82;-0.63
310840;MG;2004;31062000;0;1;13.63;0;70;3.56;6.32;8.04;6.97;10.31;10.03;-0.04
310860;MG;2004;31062000;1;1;14.56;0;58;4.11;6.63;8.44;6.57;10.12;17.16;-0.46
310900;MG;2004;31062000;0;1;14.53;0;73;3.94;7.11;8.68;7.43;10.77;32.21;-0.14
310900;MG;2003;31062000;1;1;14.43;0;73;3.94;7.14;8.65;7.51;10.63;30.52;-0.65
310910;MG;2004;31062000;1;1;13.57;0;48;3.43;5.79;7.55;6.61;10.19;8.68;-0.73
310910;MG;2003;31062000;1;1;13.51;0;48;3.43;5.82;7.53;6.52;10.06;12.17;-1.66
310920;MG;2004;31062000;0;1;13.26;0;72;3.40;5.85;7.71;4.90;9.71;32.88;-1.56
310925;MG;2004;31062000;0;1;11.24;0;33;1.63;3.78;5.76;5.15;10.08;1.40;-0.62
310930;MG;2003;31062000;0;1;13.79;0;68;4.19;6.53;8.29;4.88;10.26;-4.97;-1.02
310940;MG;2004;31094011;0;0;13.58;0;84;4.58;6.84;8.72;6.73;9.84;44.82;-1.02
310950;MG;2004;31062000;0;1;13.27;0;47;3.18;5.90;7.64;6.29;10.27;8.11;-0.67
